Superpixel,Moyenne de B,Moyenne de G,Moyenne de R,Écart type de B,Écart type de G,Écart type de R
1,0.3043722222222222,0.3315361111111111,0.35518333333333335,6.5522457383869845,7.178061710294516,7.73602757095125
2,0.140925,0.13984444444444444,0.14229444444444445,3.0212182292457204,2.992880288353539,3.0446295271889174
6,0.4759361111111111,0.50165,0.5276305555555556,7.904376343090759,8.34267759766585,8.781689150129388
7,0.40071666666666667,0.4150388888888889,0.42982777777777775,6.218492898721259,6.443640141792457,6.6768774532625015
11,0.31035833333333335,0.3497277777777778,0.38156944444444446,5.553192518604171,6.265552776330533,6.843828264576851
12,0.2232611111111111,0.22921666666666668,0.23905833333333334,3.9493718247304943,4.054365102707982,4.239948702786353
13,0.27213333333333334,0.3189194444444444,0.3641027777777778,4.634388261654716,5.374574799602811,6.106401354376172
15,0.5409,0.58165,0.6086166666666667,7.37206547809992,7.959606700974425,8.351807667061932
16,0.10856388888888889,0.11099166666666667,0.11688333333333334,3.125542618485455,3.1515596253304765,3.3105033954083534
17,0.21801944444444443,0.23233055555555557,0.24586666666666668,3.978348103564123,4.223365924810311,4.467624850474551
19,0.208775,0.21006111111111112,0.21333333333333335,3.603198301473606,3.619394040255701,3.6768253213971653
20,0.09449722222222222,0.09070833333333334,0.08953055555555556,2.5286636231927058,2.4225795018182916,2.390962928213803
23,0.341675,0.35897222222222225,0.37653333333333333,6.093164647142292,6.40143343752588,6.711188865065674
24,0.3123666666666667,0.3530083333333333,0.37411666666666665,6.031818811615648,6.824324069481987,7.234303548438874
28,0.5327722222222222,0.5833805555555556,0.6309305555555556,9.45280372182857,10.337442887931495,11.171904814814802
29,0.10506944444444444,0.12960555555555556,0.15139444444444444,2.342858384927368,2.887520497247675,3.3811325765273383
30,0.4558611111111111,0.4625472222222222,0.4749083333333333,7.6868308439876145,7.814528318828331,8.02395707090547
35,0.08940833333333334,0.08844722222222222,0.08878888888888889,2.4189490451728584,2.388725108578427,2.3985909937759904
38,0.5152805555555555,0.5190305555555556,0.5372361111111111,7.286262176424151,7.345735652909485,7.600144890837973
41,0.15524166666666667,0.17360833333333334,0.18989444444444445,2.8832981736402856,3.208064773490507,3.508740054031802
42,0.21536111111111111,0.24199444444444446,0.27384444444444445,4.118615953149454,4.610680814989606,5.225697539594654
47,0.5141111111111111,0.5781111111111111,0.6606833333333333,9.291211545680234,10.416563135004726,11.857026645159873
49,0.4495111111111111,0.49790833333333334,0.5734333333333334,7.077993342739585,7.806421933442064,8.981712085630582
57,0.33702777777777776,0.3737111111111111,0.4205388888888889,6.050909577973413,6.700889742360971,7.546130158945175
58,0.3124638888888889,0.34808333333333336,0.3868861111111111,5.191645766310365,5.775990457972083,6.422439370656605
59,0.21245833333333333,0.2559388888888889,0.3065111111111111,4.1098070799528585,4.915686428458685,5.880750693258901
63,0.5985388888888888,0.6802472222222222,0.7763305555555555,8.835603549631367,10.02187329167307,11.414019268819683
66,0.7338,0.7902861111111111,0.8779388888888889,10.595772941369251,11.320796034870934,12.50105466547504
67,0.35305277777777777,0.35610277777777777,0.3679277777777778,5.706155142772397,5.760109878482997,5.972494475686421
71,0.23321111111111112,0.25054444444444446,0.2768833333333333,4.181816633400041,4.492171552753524,4.971032986552611
74,0.19000833333333333,0.21736944444444445,0.23225,3.93204423082863,4.490112343588021,4.812694318580875
80,0.33542222222222223,0.34076388888888887,0.35385,5.869827059727861,5.956286545831618,6.181991423142909
82,0.14903333333333332,0.16438333333333333,0.18586944444444445,2.976730152204229,3.2718844905819036,3.695113859987029
83,0.25727222222222224,0.2795888888888889,0.30015555555555556,4.35297917185098,4.703141627056929,5.0383745150146835
84,0.2619111111111111,0.2962722222222222,0.3003138888888889,4.88451377234884,5.513153009234808,5.595214513980854
85,0.24513888888888888,0.26456666666666667,0.286275,4.008733692099492,4.295893262598429,4.638165880546815
87,0.08771944444444445,0.10202777777777777,0.10608611111111112,2.2843519064323443,2.650794702518668,2.7512337966420213
90,0.5276472222222223,0.6139222222222223,0.6273888888888889,7.485713954453839,8.682349883787257,8.879223243297469
92,0.4492888888888889,0.45134722222222223,0.4677027777777778,6.819287641611971,6.848213036697532,7.092666885978696
98,0.2519638888888889,0.2772861111111111,0.3008,4.481153779847142,4.92799696418686,5.333434626569887
99,0.12367777777777778,0.125375,0.13102777777777777,2.804338588414324,2.838022687746125,2.9722846710510575
100,0.33265555555555554,0.351925,0.36867222222222223,5.754845422496417,6.077154982687297,6.3766991385708005
103,0.3127888888888889,0.3307583333333333,0.34724166666666667,5.081650737928905,5.354865029162739,5.624857865091306
112,0.2832722222222222,0.32428055555555557,0.3512888888888889,6.650890597270006,7.610078508056247,8.24397972296716
113,0.44188055555555555,0.5143222222222222,0.5671638888888889,8.392625394836871,9.769639217026217,10.775983848370876
115,0.5533333333333333,0.6167861111111111,0.67835,9.15178944246019,10.197384735841403,11.215522831661888
116,0.4327361111111111,0.4842666666666667,0.5303138888888889,7.700148845057586,8.614872618857634,9.437666729088255
117,0.36043055555555553,0.38682222222222223,0.41018333333333334,6.452057667772821,6.929235304314752,7.345844227241167
119,0.3851277777777778,0.42612777777777777,0.46271111111111113,6.854611094849088,7.582583743578619,8.23642307642726
120,0.38433333333333336,0.4030666666666667,0.41906944444444444,6.883955508619101,7.223256309065891,7.521070049531223
121,0.3817527777777778,0.4262,0.46255277777777776,6.25703788946506,6.976983445912872,7.571025391756499
122,0.6225611111111111,0.6187722222222222,0.6299388888888889,10.01149039286007,9.959282317045703,10.149720811525361
123,0.09197222222222222,0.10696388888888889,0.11716388888888889,2.3592070229106654,2.7371021484344893,2.9951048693853224
124,0.24967777777777778,0.2657,0.27845555555555557,4.450114219091978,4.734229159245905,4.9651621046458585
126,0.29707222222222224,0.3097666666666667,0.31910555555555553,5.269923390277176,5.495502722064948,5.659661795927494
128,0.3414861111111111,0.35635555555555554,0.37290555555555555,5.836909476419415,6.089471756560415,6.3649367022815335
130,0.6367222222222222,0.7032888888888889,0.7548444444444444,10.24990955672432,11.325873587415906,12.163707579736341
131,0.4381777777777778,0.48194166666666666,0.5151083333333333,8.24031756472337,9.059874999589038,9.687912260168073
132,0.44717222222222225,0.4892222222222222,0.5202416666666667,7.533266098750666,8.225574309954524,8.747436529118207
134,0.5091333333333333,0.5652055555555555,0.61325,7.732716205575164,8.590884924755462,9.33440124804479
135,0.42070833333333335,0.44121666666666665,0.4557083333333333,6.599960988779464,6.933804476659882,7.181129160938092
