Superpixel,Moyenne de B,Moyenne de G,Moyenne de R,Écart type de B,Écart type de G,Écart type de R
3,0.4712027777777778,0.4781611111111111,0.498975,6.634229725648644,6.751501952727425,7.029669982408463
8,0.44831944444444444,0.5325944444444445,0.6123305555555556,7.005930916576611,8.30749051844428,9.551424190633423
9,0.34506944444444443,0.44453611111111113,0.49091944444444446,5.250551491746625,6.7227876478038,7.4236536967695415
17,0.3714777777777778,0.46995555555555557,0.5229305555555556,6.187789843614518,7.823769878307106,8.723430885315947
18,0.39853055555555555,0.3963138888888889,0.4062027777777778,6.493329787583911,6.469400132883701,6.633128713238605
20,0.14344722222222223,0.18478611111111112,0.19550555555555554,2.6836258857278388,3.4521903165644074,3.6550847109337123
26,0.2747472222222222,0.26842777777777777,0.26995555555555556,4.436589038565984,4.321566315208878,4.343449294693683
29,0.28108055555555556,0.30386111111111114,0.3415666666666667,5.0337010736859344,5.447194648313455,6.129472878511542
33,0.2305,0.24680833333333332,0.24757777777777779,4.095128918786684,4.366162767616694,4.3820580805819285
34,0.508025,0.5375777777777778,0.6044527777777777,7.769675528731877,8.21190187202687,9.22343817893661
43,0.2121861111111111,0.2852472222222222,0.2813583333333333,3.945881375829365,5.314063952318572,5.251580316609018
45,0.26413055555555554,0.26466666666666666,0.27666666666666667,5.006164427238028,5.0165294997490975,5.244016166642534
46,0.3814138888888889,0.39841944444444444,0.4244777777777778,7.132325364927394,7.443180566586554,7.928744594109187
47,0.37517222222222224,0.4191722222222222,0.4350777777777778,5.231814134444829,5.814426998040753,6.068329588462338
48,0.47618333333333335,0.5094694444444444,0.5478,8.053333643087749,8.61219253898721,9.261660436946768
49,0.3849111111111111,0.4217888888888889,0.45888055555555557,6.948421410949871,7.596021598956893,8.265741767591397
50,0.29959722222222224,0.2985555555555556,0.311625,5.346708733573872,5.319582598714854,5.543551646709047
51,0.21323333333333333,0.22258611111111112,0.24761666666666668,4.264621696242492,4.446148443141578,4.944585409787639
53,0.274125,0.2737,0.28249166666666664,4.583636042822659,4.570490428247185,4.721344689863285
54,0.39598055555555556,0.43996111111111114,0.47797222222222224,6.920360215456898,7.693421128760666,8.36508074597513
56,0.18905,0.1965111111111111,0.19693611111111112,3.523985131713289,3.6452411968934486,3.655877619380133
60,0.23385277777777777,0.228975,0.22890833333333332,4.824103726847369,4.733665000613075,4.739288903247886
62,0.3336222222222222,0.39281666666666665,0.38708333333333333,5.298888415078777,6.2376509609149045,6.153072840674084
63,0.48906944444444445,0.5160583333333333,0.5340722222222222,7.214917607146333,7.644982226430213,7.9220830717592365
64,0.18688055555555555,0.19226944444444444,0.19795555555555555,3.6713062453339957,3.773853279052318,3.888884764211911
66,0.26811666666666667,0.2683138888888889,0.2702027777777778,4.694292291676725,4.69632118335912,4.737573090973861
67,0.29545,0.29810555555555557,0.30465,5.21428788870564,5.258359457987228,5.37178633016388
68,0.22813611111111112,0.25514722222222225,0.27963333333333334,4.101956311466449,4.560566169188716,4.994109828229124
69,0.37369444444444444,0.39986944444444444,0.42445,8.239563918798941,8.814763593275769,9.351066069829603
70,0.4592111111111111,0.4930638888888889,0.5299833333333334,7.660634412351367,8.216278672439065,8.826962224343537
71,0.46750833333333336,0.49218055555555557,0.5132694444444444,7.870447175062732,8.29119311683902,8.665200935650898
72,0.6763777777777777,0.7004361111111111,0.7236027777777778,9.353030809503876,9.700676828076558,10.056369546954379
76,0.29639166666666666,0.30675,0.3143861111111111,5.52729080536425,5.739644200470877,5.8986206237028265
80,0.1255388888888889,0.15061944444444444,0.16443333333333332,2.7759254690057644,3.318468506307398,3.635633142302476
81,0.4446277777777778,0.4826138888888889,0.5127055555555555,6.787862985989694,7.402425499676527,7.883468970710427
83,0.43582777777777776,0.4457,0.459125,6.986239946614898,7.1547836646390826,7.3778931281907365
88,0.23701666666666665,0.24295,0.24740833333333334,4.463607259399481,4.5762451575618845,4.6580638210836725
89,0.41888888888888887,0.44615,0.466,6.898358813571528,7.3750401249412825,7.729497223858404
91,0.4695611111111111,0.47358333333333336,0.4828472222222222,7.33842899670917,7.4046120720274855,7.5701710097034525
95,0.34934444444444446,0.38982222222222224,0.42151944444444445,7.697938224250725,8.582172074902102,9.272935033471658
96,0.6095277777777778,0.6768333333333333,0.7142194444444444,8.178007655933994,9.085983526277442,9.592239283563508
98,0.4242222222222222,0.452225,0.47885,6.502015666582312,6.939432076901414,7.36122328369039
99,0.2702027777777778,0.28720833333333334,0.3032361111111111,5.064813686720723,5.368429600261582,5.6700534560556655
102,0.4236638888888889,0.47341944444444445,0.5027944444444444,7.321768951312474,8.182980245371681,8.697771296374539
103,0.2982388888888889,0.32326666666666665,0.3411666666666667,6.249686055143405,6.767448542390668,7.142275141349221
105,0.14470555555555556,0.14054166666666668,0.14071666666666666,3.099493555775859,3.00739010806334,3.011846782621228
110,0.3063916666666667,0.30896388888888887,0.317775,5.15535743258148,5.193998105051091,5.35295605191705
113,0.41788333333333333,0.45215555555555553,0.48178333333333334,7.076164699423037,7.6518018806359835,8.153485371792659
114,0.3708166666666667,0.3621388888888889,0.3681083333333333,5.6187677079041265,5.483722871990627,5.581295561391118
115,0.2713277777777778,0.27455833333333335,0.28685,4.827503163396375,4.886544274258609,5.093577150587786
117,0.24725833333333333,0.2582388888888889,0.2572361111111111,4.2413047632070455,4.406364892443015,4.396905366881421
126,0.18306111111111112,0.18341388888888888,0.1820277777777778,4.005922666176637,4.01514299051958,3.991766428736258
127,0.3877555555555556,0.42802222222222225,0.460425,7.896585835102563,8.715441423107933,9.37436252274132
130,0.2753638888888889,0.2818027777777778,0.29295,5.552654495946896,5.676124066324853,5.905119461374961
131,0.22505833333333333,0.2344638888888889,0.25351666666666667,4.4333955348816065,4.628607483952344,5.006701771884196
132,0.39618055555555554,0.39941666666666664,0.4085722222222222,6.398059981195601,6.4443424536466445,6.591215691704764
134,0.20104444444444444,0.22431944444444443,0.22418333333333335,4.039600917902684,4.501400425087234,4.5031708149574765
137,0.4117388888888889,0.43572777777777777,0.4582805555555556,7.3481138153270384,7.781001590323687,8.187377380867673
139,0.4170583333333333,0.4907361111111111,0.5480638888888889,7.4109268884564985,8.72877379467069,9.763232665645601
140,0.2713861111111111,0.32574166666666665,0.3851472222222222,4.751003066130976,5.6801374817097745,6.713654655966475
142,0.28491944444444445,0.303925,0.3213861111111111,5.333670439259745,5.700553982340099,6.039215582875158
143,0.21253611111111112,0.25919166666666665,0.30825,4.093236706444994,4.980307912409252,5.91293203672703
149,0.28270833333333334,0.3358,0.3872388888888889,4.631915958061212,5.504448153221907,6.358731218556795
151,0.5017694444444445,0.521425,0.5488638888888889,8.083594303830932,8.378938004359668,8.820521595062418
152,0.5219416666666666,0.6317638888888889,0.712,8.509651494819723,10.306646423577188,11.631892480031203
156,0.19747777777777778,0.20022222222222222,0.2109,3.983831527337007,4.0468821957511345,4.26831141100061
